,name,main_category,sub_category,brand,number,tags,price,rating,rating_num,season,gender,like,view,sale,coordi,age18,age19_23,age24_28,age29_33,age34_39,age40,man,woman,img
249,수피마 코튼 세미오버핏 티셔츠 (화이트),상의,반소매 티셔츠,COOR,CMN2TS01V-WHE,"['오버핏', '반팔', '반팔티셔츠', '반팔티', '여름반팔티', '오버핏반팔', '티셔츠']","35,000원",4.9,7570,2022 S/S,['남'],"2,857",8.8천 회 이상,2.9천 개 이상,['댄디'],18%,20%,29%,19%,8%,6%,93%,7%,https://image.msscdn.net/images/goods_img/20210407/1885302/1885302_2_500.jpg?t=20220414183729
250,CLASSIC LOGO TEE white,상의,반소매 티셔츠,MARITHE FRANCOIS GIRBAUD,0MG22STS103,[],"48,000원",4.9,1245,2022 S/S,['여'],"6,889",2만 회 이상,2.8천 개 이상,['캐주얼'],26%,30%,26%,9%,3%,6%,25%,75%,https://image.msscdn.net/images/goods_img/20220218/2371238/2371238_2_500.jpg?t=20220303152227
251,RETRIEVER FRIENDS SHORT SLEEVE [WHITE],상의,반소매 티셔츠,RETRIEVER CLUB,RC2STO001WH,"['로고', '반팔티', '오버핏반팔', '로고티셔츠', '오버핏', '22SS신상품', '그래픽']","42,000원",4.9,1624,2022 S/S,['남'],"7,355",4.1만 회 이상,2.9천 개 이상,['캐주얼'],34%,29%,21%,8%,2%,6%,49%,51%,https://image.msscdn.net/images/goods_img/20220225/2386335/2386335_2_500.jpg?t=20220308113930
252,슈무 아치로고 반팔 티셔츠 네이비,상의,반소매 티셔츠,WHATITISNT,MG2200ST08NA,"['티셔츠', '반팔', '반팔티', '숏슬리브', '레이어드', '슈무로고', '슈무']","39,000원",4.8,8892,2021 S/S,"['남', '여']","4,716",2.2천 회 이상,2.9천 개 이상,,37%,27%,11%,5%,4%,16%,40%,60%,https://image.msscdn.net/images/goods_img/20210315/1845609/1845609_1_500.jpg?t=20210315203000
253,(K87) 워크웨어 포켓 반팔티,상의,반소매 티셔츠,CARHARTT,K87,"['칼하트반팔티', '칼하트반팔', '칼하트티셔츠', '로고티셔츠', '여름반팔티', '오버핏반팔', '루즈핏']","59,000원",4.8,400,,['남'],"2,615",6.3천 회 이상,2.9천 개 이상,,32%,27%,20%,9%,5%,7%,52%,48%,https://image.msscdn.net/images/goods_img/20210721/2036548/2036548_5_500.jpg?t=20220520171657
254,레이어드 크루 넥 반팔 티셔츠_일반 기장 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MMATS701-BK,"['레귤러핏', '베이직티', '무지티', '기본티셔츠', '라운드넥', 'MU-T', '유아인착장상품', '반소매티셔츠']","13,900원",4.9,20454,2021 F/W,['남'],"1,104",2.9천 회 이상,3천 개 이상,"['스포츠', '캐주얼']",20%,21%,24%,14%,10%,11%,82%,18%,https://image.msscdn.net/images/goods_img/20210825/2086654/2086654_1_500.jpg?t=20210930122827
255,EBFD 베츠 반팔 티셔츠 그린,상의,반소매 티셔츠,EBBETSFIELD,EB2102ST01GN,"['베츠', '그래픽']","39,000원",4.8,10231,2021 S/S,['남'],"4,444",1.1만 회 이상,3천 개 이상,['캐주얼'],32%,28%,17%,8%,5%,10%,54%,46%,https://image.msscdn.net/images/goods_img/20210716/2031930/2031930_4_500.jpg?t=20220422105313
256,2021 SIGNATURE T-SHIRTS [BLACK],상의,반소매 티셔츠,5252BYOIOI,21SM_2,"['티셔츠', '반팔', '라운드티']","39,000원",4.8,2107,2021 S/S,"['남', '여']","5,083",1.7만 회 이상,3천 개 이상,"['걸리시', '캐주얼']",28%,23%,22%,11%,5%,11%,20%,80%,https://image.msscdn.net/images/goods_img/20210318/1853316/1853316_1_500.png?t=20210323114916
257,빅웨이브 반팔티셔츠(화이트),상의,반소매 티셔츠,CAMEL WORK,34-00-0030,"['라운드', '로고', '면티', '트로피컬', '프린팅', '하와이안', '그래픽']","36,000원",4.8,2062,2022 S/S,['남'],"8,469",1만 회 이상,2.9천 개 이상,['캐주얼'],24%,23%,22%,13%,8%,10%,70%,30%,https://image.msscdn.net/images/goods_img/20190530/1060019/1060019_1_500.jpg?t=20190531114647
258,M-Logo Classic (GL5TSU173BK),상의,반소매 티셔츠,JEEP,GL5TSU173BK,"['로고', '로고티', '반팔', '반팔티', '티셔츠', '프린팅', '패밀리세일']","35,000원",4.7,10602,2020 S/S,['남'],"5,906",6.9천 회 이상,2.9천 개 이상,"['스포츠', '캐주얼']",26%,20%,26%,13%,6%,9%,56%,44%,https://image.msscdn.net/images/goods_img/20200619/1491644/1491644_2_500.jpg?t=20220525093348
259,BASIC LOGO TEE WHITE(MG2CMMT502A),상의,반소매 티셔츠,MAHAGRID,MG2CMMT502AWH,"['로고', '로고티', '반팔티', '티셔츠', '마하그리드×스트레이키즈']","29,000원",4.8,4929,ALL,"['남', '여']","10,426",7.1천 회 이상,2.8천 개 이상,"['홈웨어', '캐주얼']",49%,23%,12%,5%,2%,9%,41%,59%,https://image.msscdn.net/images/goods_img/20200323/1363588/1363588_2_500.jpg?t=20210517113451
